Date,Revenue,newdate
27-Sep-15,2420,9/27/2015
28-Sep-15,11526.68,9/28/2015
29-Sep-15,11259.54,9/29/2015
30-Sep-15,5367.79,9/30/2015
1-Oct-15,2913.75,10/1/2015
2-Oct-15,6550.1,10/2/2015
3-Oct-15,1452.95,10/3/2015
4-Oct-15,2991.62,10/4/2015
5-Oct-15,4146.21,10/5/2015
6-Oct-15,23251.9,10/6/2015
7-Oct-15,10180.81,10/7/2015
8-Oct-15,6031,10/8/2015
9-Oct-15,9476.25,10/9/2015
10-Oct-15,1591.04,10/10/2015
11-Oct-15,2960.13,10/11/2015
12-Oct-15,5043.3,10/12/2015
13-Oct-15,1729.05,10/13/2015
14-Oct-15,7662.75,10/14/2015
15-Oct-15,20629.17,10/15/2015
16-Oct-15,4952.9,10/16/2015
17-Oct-15,801.82,10/17/2015
18-Oct-15,3542.16,10/18/2015
19-Oct-15,2124.8,10/19/2015
20-Oct-15,9386.89,10/20/2015
21-Oct-15,3502.22,10/21/2015
22-Oct-15,6504.4,10/22/2015
23-Oct-15,9753.93,10/23/2015
24-Oct-15,2143.58,10/24/2015
25-Oct-15,1963.2,10/25/2015
26-Oct-15,7439.97,10/26/2015
27-Oct-15,2940.24,10/27/2015
28-Oct-15,8588.45,10/28/2015
29-Oct-15,2218.8,10/29/2015
30-Oct-15,1749.27,10/30/2015
31-Oct-15,2569.01,10/31/2015
1-Nov-15,5122.3,11/1/2015
2-Nov-15,19031.92,11/2/2015
3-Nov-15,11110.25,11/3/2015
4-Nov-15,2727.68,11/4/2015
5-Nov-15,14297.96,11/5/2015
6-Nov-15,2732.55,11/6/2015
7-Nov-15,3707.2,11/7/2015
8-Nov-15,3011.04,11/8/2015
9-Nov-15,5802.32,11/9/2015
10-Nov-15,2904.12,11/10/2015
11-Nov-15,5570.4,11/11/2015
12-Nov-15,1735.79,11/12/2015
13-Nov-15,6426.54,11/13/2015
14-Nov-15,2529.17,11/14/2015
15-Nov-15,5310.42,11/15/2015
16-Nov-15,6675.44,11/16/2015
17-Nov-15,46412.56,11/17/2015
18-Nov-15,1413.43,11/18/2015
19-Nov-15,937.03,11/19/2015
20-Nov-15,2680.91,11/20/2015
21-Nov-15,4357.92,11/21/2015
22-Nov-15,10036.58,11/22/2015
23-Nov-15,4876.69,11/23/2015
24-Nov-15,2321.76,11/24/2015
25-Nov-15,3540.64,11/25/2015
26-Nov-15,7548.54,11/26/2015
27-Nov-15,14795.11,11/27/2015
28-Nov-15,631.2,11/28/2015
29-Nov-15,3681.6,11/29/2015
30-Nov-15,9593.8,11/30/2015
1-Dec-15,12114.62,12/1/2015
2-Dec-15,2993.8,12/2/2015
3-Dec-15,50456.27,12/3/2015
4-Dec-15,28270.2,12/4/2015
5-Dec-15,7326.45,12/5/2015
6-Dec-15,19149.44,12/6/2015
7-Dec-15,10438.19,12/7/2015
8-Dec-15,9626.3,12/8/2015
9-Dec-15,2173.23,12/9/2015
10-Dec-15,16513.95,12/10/2015
11-Dec-15,1846.99,12/11/2015
12-Dec-15,2628.32,12/12/2015
13-Dec-15,9301.05,12/13/2015
14-Dec-15,32170.46,12/14/2015
15-Dec-15,5014.42,12/15/2015
16-Dec-15,12005.91,12/16/2015
17-Dec-15,1226.08,12/17/2015
18-Dec-15,23381.23,12/18/2015
19-Dec-15,1642.4,12/19/2015
20-Dec-15,3046.8,12/20/2015
21-Dec-15,5652.65,12/21/2015
22-Dec-15,528.64,12/22/2015
23-Dec-15,0,12/23/2015
24-Dec-15,352.8,12/24/2015
25-Dec-15,815.44,12/25/2015
26-Dec-15,1544.8,12/26/2015
27-Dec-15,2550,12/27/2015
28-Dec-15,1543.56,12/28/2015
29-Dec-15,756.8,12/29/2015
30-Dec-15,2932.57,12/30/2015
31-Dec-15,354.4,12/31/2015
1-Jan-16,3888,1/1/2016
2-Jan-16,2155.2,1/2/2016
3-Jan-16,9814.7,1/3/2016
4-Jan-16,8895.04,1/4/2016
5-Jan-16,16203.61,1/5/2016
6-Jan-16,2112.15,1/6/2016
7-Jan-16,7852.6,1/7/2016
8-Jan-16,32548.35,1/8/2016
9-Jan-16,475.2,1/9/2016
10-Jan-16,21746.8,1/10/2016
11-Jan-16,12913.35,1/11/2016
12-Jan-16,6183.61,1/12/2016
13-Jan-16,1298.87,1/13/2016
14-Jan-16,241.6,1/14/2016
15-Jan-16,7221,1/15/2016
16-Jan-16,1350.57,1/16/2016
17-Jan-16,2633.86,1/17/2016
18-Jan-16,6589.77,1/18/2016
19-Jan-16,26409.49,1/19/2016
20-Jan-16,8469.55,1/20/2016
21-Jan-16,13801.09,1/21/2016
22-Jan-16,14071.59,1/22/2016
23-Jan-16,5646.8,1/23/2016
24-Jan-16,101429.7,1/24/2016
25-Jan-16,26321.77,1/25/2016
26-Jan-16,14825.17,1/26/2016
27-Jan-16,23237.4,1/27/2016
28-Jan-16,1664,1/28/2016
29-Jan-16,740.8,1/29/2016
30-Jan-16,3104.42,1/30/2016
31-Jan-16,4101.77,1/31/2016
1-Feb-16,10835.7,2/1/2016
2-Feb-16,5650.62,2/2/2016
3-Feb-16,7916.05,2/3/2016
4-Feb-16,2081.92,2/4/2016
5-Feb-16,6183.15,2/5/2016
6-Feb-16,2320.8,2/6/2016
7-Feb-16,1016.8,2/7/2016
8-Feb-16,2197.95,2/8/2016
9-Feb-16,4426.08,2/9/2016
10-Feb-16,69009.97,2/10/2016
11-Feb-16,10663.4,2/11/2016
12-Feb-16,3813.6,2/12/2016
13-Feb-16,3906.37,2/13/2016
14-Feb-16,5029.27,2/14/2016
15-Feb-16,24545.4,2/15/2016
16-Feb-16,9293.27,2/16/2016
17-Feb-16,47394.35,2/17/2016
18-Feb-16,11865.4,2/18/2016
19-Feb-16,4690.61,2/19/2016
20-Feb-16,1552.48,2/20/2016
21-Feb-16,2424.8,2/21/2016
22-Feb-16,6236.22,2/22/2016
23-Feb-16,10796.55,2/23/2016
24-Feb-16,6326.78,2/24/2016
25-Feb-16,10294.39,2/25/2016
26-Feb-16,1962.38,2/26/2016
